sample,tool,total_mutations,exposure_cosine_vs_msigsdk,msigsdk_top_signature,comparator_top_signature,top_signature_agreement,msigsdk_reconstruction_cosine,comparator_reconstruction_cosine
SP53810,deconstructSigs,185584.0,0.9954290620923371,SBS4,SBS4,True,0.9965730983993089,0.9961329507549062
SP55142,deconstructSigs,157043.0,0.9998288980722356,SBS4,SBS4,True,0.9922208194122292,0.9921936655910824
SP55235,deconstructSigs,113803.0,0.998390118329346,SBS4,SBS4,True,0.9923218692737436,0.9922926979437102
SP54113,deconstructSigs,110327.0,0.9994391931343635,SBS4,SBS4,True,0.9902971534094729,0.9902705896102085
SP55509,deconstructSigs,66135.0,0.9991116749343772,SBS4,SBS4,True,0.990638874258541,0.9905392061363563
SP53618,deconstructSigs,61322.0,0.9941215152606525,SBS4,SBS4,True,0.9932244342050048,0.991726983377266
SP53460,deconstructSigs,53534.0,0.9984143932454775,SBS4,SBS4,True,0.9892458460674518,0.9891495694086667
SP50611,deconstructSigs,53404.0,0.999985233977524,SBS4,SBS4,True,0.9894666431651726,0.9895063105427971
SP56079,deconstructSigs,48259.0,0.9992638958538704,SBS4,SBS4,True,0.9943145362627988,0.9942703075665288
SP54745,deconstructSigs,47720.0,0.9984159125188882,SBS40,SBS40,True,0.9928190107135455,0.9919762494583457
SP54363,deconstructSigs,42875.0,0.9997711959700308,SBS4,SBS4,True,0.9927525099850681,0.9927475273916152
SP53387,deconstructSigs,42320.0,0.9995817662718819,SBS4,SBS4,True,0.9961069417424031,0.9957631861150514
SP50827,deconstructSigs,40159.0,0.9993226697147981,SBS4,SBS4,True,0.9938174107054285,0.9931868412174212
SP52779,deconstructSigs,38395.0,0.9992508828714831,SBS4,SBS4,True,0.9934893799522958,0.9929608196307547
SP52667,deconstructSigs,33457.0,0.9967043331464215,SBS4,SBS4,True,0.9926008693843238,0.9921369123543757
SP56168,deconstructSigs,33038.0,0.9936461880617262,SBS2,SBS2,True,0.998533512601548,0.9979489171541942
SP52232,deconstructSigs,25936.0,0.9988264677125291,SBS4,SBS4,True,0.9911482888125871,0.9902337192262597
SP51824,deconstructSigs,24299.0,0.9977276014701538,SBS4,SBS4,True,0.9924810242019507,0.9924123411152271
SP53073,deconstructSigs,23381.0,0.9966269639623468,SBS4,SBS4,True,0.9863826665621411,0.9867187236160708
SP55387,deconstructSigs,20258.0,0.9950020437304091,SBS4,SBS4,True,0.9852346170615636,0.9847244208539714
SP50317,deconstructSigs,16156.0,0.9912500084054945,SBS13,SBS40,False,0.9963611239829032,0.9962764937262716
