"sample","SBS1","SBS2","SBS4","SBS5","SBS13","SBS17a","SBS17b","SBS18","SBS40"
"SP53810",0,0,0.808034689299902,0.0160037488750527,0,0,0,0.0525319405097356,0.12342962131531
"SP55142",0,0.0733317401731692,0.404606777348523,0.17958448727511,0.0994009062219425,0,0,0.0320550912509852,0.211020997730271
"SP55235",0,0.0313207268328624,0.498711215160506,0.156570251547545,0.0232810325265476,0,0,0.0354495325737079,0.254667241358832
"SP54113",0,0.0396664627771045,0.438011096116574,0.208346275803409,0.0505088497009879,0,0,0.0494275473467832,0.214039768255141
"SP55509",0,0.0187757669052809,0.604982686383894,0.0798226211111595,0.0287491206225995,0,0,0.0963807365455838,0.171289068431482
"SP53618",0,0,0.635444263699465,0.0540143691011014,0,0,0,0.094138613475791,0.216402753723643
"SP53460",0,0.0168627248973204,0.546792892810252,0.0283810754393115,0.0183756735461546,0,0,0.0831720836324061,0.306415549674555
"SP50611",0,0,0.635089230888349,0.0653233143107218,0.0191802904356935,0,0,0.0819817047795156,0.19842545958572
"SP56079",0,0.0169617900292741,0.597157737977936,0.114923829367507,0.0221902073161344,0,0,0.0315354915354483,0.217230943773701
"SP54745",0,0.181952050795913,0.0690162233657996,0,0.128085086271382,0.0667833178921593,0.147612079329945,0,0.406551242344801
"SP54363",0,0.104838290212463,0.42007337851981,0.0871401672811096,0.0860934786721879,0,0,0.0958191855078534,0.206035499806576
"SP53387",0,0.208268620602957,0.347681472324528,0.0914420033979801,0.0802574084516065,0,0,0.0499276478471837,0.222422847375744
"SP50827",0,0.0282858365177337,0.534984919133791,0.110837034213947,0.022107437673958,0,0,0.100201861588264,0.203582910872307
"SP52779",0,0.0465538709298059,0.532312522595658,0.135391881639032,0.0423565835933939,0,0,0.102986017320194,0.140399123921916
"SP52667",0,0,0.624813079714706,0.103365723459489,0,0,0,0.0467361318516408,0.225085064974164
"SP56168",0,0.344285154331945,0.0123073372011416,0.130333706702767,0.281720528288308,0,0,0.028623167815593,0.202730105660245
"SP52232",0,0,0.587607925637771,0.189798318027521,0.0162141975940962,0,0,0.0405637989561431,0.165815759784468
"SP51824",0.0247744915079111,0.0808524443917111,0.330209354069739,0.307950712318364,0.0795394685817861,0,0,0.0239801818450283,0.15269334728546
"SP53073",0,0,0.404351772914535,0.27391143664356,0,0.028246379057863,0.0689546910373074,0.0431270072883212,0.181408713058414
"SP55387",0,0,0.541334983438351,0.0730511578503154,0,0,0,0.0892446719832564,0.296369186728077
"SP50317",0.0327333756883111,0.147062805201915,0.0510961933659074,0.089123024983143,0.265181636383754,0,0,0.127253289043514,0.287549675333456
"SP56303",0.050509133076444,0.0198247989202617,0.033512957332352,0.0772663733643597,0.0375648218408784,0,0,0.295969105203923,0.485352810261781
"SP50713",0,0.138897841274905,0.333976438662376,0.251848101973293,0.182716856314815,0,0,0,0.0925607617746109
"SP50321",0,0.0111131193256586,0.523373466139547,0.162294868989073,0.0121715787091928,0,0,0.104874187575951,0.186172779260578
"SP50263",0.121488464103519,0.0319905562240512,0.043097623953817,0.274728917660009,0.0538659683884646,0,0,0.0607844740409294,0.414043995629209
"SP53548",0.0368864823859269,0,0,0,0,0.0855700080522738,0.23518751221162,0,0.64235599735018
"SP55711",0.0937314350791208,0.108151420751232,0,0.189350358593282,0.0786238287084735,0,0,0.0536960250649323,0.476446931802959
"SP50518",0.114821039896435,0.0423131969360055,0.0534843751614156,0.279718524844532,0.0292869488334067,0,0,0.0409487608312516,0.439427153496953
"SP51446",0.125470998806098,0.0604416621787923,0.103815116333973,0.429059358932586,0.0192620069943242,0,0,0.0332159388399594,0.228734917914267
"SP52284",0.0815486459051167,0.0430308113713836,0,0.349353719958254,0.0329401244823475,0,0,0.115707286896463,0.377419411386435
"SP50592",0.152267193839637,0.0446166194713888,0,0.447236384656451,0,0,0,0.0773813683714839,0.278498433661039
"SP51037",0.20498221876539,0.0346118806698676,0,0.377869117432579,0.0333386638577471,0,0.0154223434726321,0.0524602303192929,0.281315545482491
"SP52607",0.15173425664532,0.101848652667835,0.0973762805810894,0.415747387672449,0.0695945292836376,0,0,0.0268254692938123,0.136873423855857
"SP50485",0.174575002695042,0.0361879983589086,0.0301441273557866,0.510142781478561,0,0,0,0.0503423835796119,0.19860770653209
"SP50412",0.111448805265968,0,0.0364931400308579,0.656000477480934,0,0,0,0,0.19605757722224
"SP55309",0.225885629040637,0.0462923695858541,0.0533699636267027,0.430228988401281,0,0,0,0,0.244223049345526
"SP50406",0.244067088972521,0.0223214879665645,0.0628294903016093,0.369568602432255,0,0,0,0.0644854742892648,0.236727856037785
"SP55004",0.141445058865412,0,0.0549945033176242,0.666315226954515,0,0,0,0.0964911091119902,0.0407541017504589
