sample,SBS1,SBS2,SBS4,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS40
SP53810,0,0,0.8314720753282578,0.046474471431815045,0.011867205059389338,0,0,0.05693032181440507,0.05325592636613279
SP55142,0,0.07329102556814727,0.40072805388886806,0.1844580990696818,0.10025101767178075,0,0,0.0365420269591416,0.20472977684238067
SP55235,0,0.0333201777173959,0.5124053474175553,0.1631028636732188,0.02535521016462603,0,0,0.04022063632380029,0.2255957647034038
SP54113,0,0.0400391630666124,0.4390481322091354,0.21650503667428556,0.052183682782536954,0,0,0.053543457201736734,0.1986805280656929
SP55509,0,0.01923113459942923,0.5980268321489629,0.10175926932895972,0.029744899357264702,0,0,0.09572732964100437,0.15551053492437894
SP53618,0,0.010117609790713744,0.6361408675257866,0.09262171366088778,0.013521396264516348,0,0,0.0920572646442902,0.15554114811380537
SP53460,0,0.017760006186727247,0.5546605383410257,0.04586521054150922,0.019635246644600136,0,0,0.0859180443091713,0.2761609539769665
SP50611,0,0,0.638222229980502,0.06303153964686951,0.020396324596251916,0,0,0.08118950840852215,0.19716039736785435
SP56079,0,0.01817472676702203,0.6119997705108626,0.1170820046318288,0.023534998980774303,0,0,0.03320134215039964,0.1960071569591126
SP54745,0.015887149109350806,0.18458533448075676,0.0749923731696008,0,0.1300055677503217,0.06840684006605464,0.1488922062656847,0,0.3772305291582306
SP54363,0,0.10545862521754487,0.42859360945195346,0.08745880698647181,0.08769303713525306,0,0,0.08988577267114937,0.20091014853762737
SP53387,0.010142272761790359,0.20716997291553005,0.35203171350531764,0.0858752266786499,0.08084950048226602,0,0,0.04713938389144379,0.2167919297650023
SP50827,0.011438232908327807,0.02793873831770294,0.5346595672808325,0.09599907305067987,0.022276609805531533,0,0,0.09451064322113528,0.21317713541579011
SP52779,0.01056748606190356,0.0459580804996558,0.5313840782421019,0.12011667050297403,0.04288343502446088,0,0,0.09736205135304404,0.15172819831585974
SP52667,0,0,0.6484974021645489,0.11408562206189551,0.01247093147409252,0,0,0.047835967440297084,0.17711007685916597
SP56168,0.018512290721066183,0.34854846942707146,0.029827802471846316,0.14044984618453793,0.2857781411772457,0,0,0.02393007181770635,0.15295337820052604
SP52232,0.013859568479697505,0,0.5902436706811086,0.16517880360280432,0.016325793394628405,0,0,0.0366201437064047,0.17777202013535656
SP51824,0.02354749851453266,0.08297788316756817,0.3336141480030214,0.3234385715447742,0.08179614428611194,0,0,0.030690420999337633,0.12393533348465405
SP53073,0,0,0.4295837532844667,0.28510531357546565,0,0.029515560433644256,0.07222490800775974,0.03891032625908576,0.14466013843957776
SP55387,0,0,0.5499005383769935,0.10733168723431963,0.010533706007020296,0,0,0.08697894832731923,0.24525512005434735
SP50317,0.031084037595679938,0.15140999915871042,0.05854616161051861,0.1174338491317638,0.2705559614779752,0,0,0.13541765459927027,0.2355523364260816
SP56303,0.04995015423473223,0.02190253551486754,0.040354662432111825,0.09216825926158709,0.04023468030640208,0,0,0.3034896233777305,0.4519000848725688
SP50713,0.014529565265235992,0.14199266878595634,0.342417329420312,0.2455437203160544,0.18526647938123456,0,0,0,0.07025023683120685
SP50321,0.019716822740493408,0.011143967388880564,0.5215865710297665,0.12549501531420043,0.011714002928050533,0,0,0.09393226992823735,0.21641135067037143
SP50263,0.12304602047529391,0.0346936650572013,0.048079550850120494,0.2985106273894473,0.057797621675271846,0,0,0.0681867879405674,0.36968572661209775
SP53548,0.037671187567390046,0,0,0,0,0.0822008564233013,0.22749442840397613,0,0.6526335276053324
SP55711,0.09134719528929919,0.10866949355678629,0.021351262269698527,0.22080551603797793,0.07968155910004238,0,0,0.05858276892201924,0.4195622048241765
SP50518,0.11391221917110936,0.04422219839726184,0.06072606543130993,0.2978772820720692,0.03106330490651659,0,0,0.042942041322584674,0.4092568886991484
SP51446,0.12906379246016556,0.06049823177764497,0.08393357378412288,0.40317074996450264,0.018241306746618717,0,0,0.04416218958396712,0.26093015568297806
SP52284,0.07992781553071834,0.04532655360324564,0,0.38275557173440994,0.03585953467261145,0,0,0.12437925703322777,0.3317512674257869
SP50592,0.1568065765943962,0.046145594008839615,0,0.45032769614519724,0,0,0,0.077597348339431,0.2691227849121359
SP51037,0.21171593353954618,0.03337566916319091,0,0.34555681007119976,0.031099817780244215,0,0.012821183892504423,0.039870923513179723,0.3255596620401347
SP52607,0.1562341762800482,0.1031440247106824,0.08976688793875545,0.3846580889575745,0.06854329146657225,0,0,0.02375426337113629,0.17389926727523072
SP50485,0.1737799267859919,0.03446124994005941,0.03423625808184314,0.47712898022897676,0,0,0,0.03890616864043822,0.24148741632269058
SP50412,0.10993490737166438,0.012931683408971495,0.035937885390660236,0.67207603121475,0,0,0,0.020912894764435447,0.14820659784951837
SP55309,0.23306569586365175,0.0453985570729408,0.03844967309907938,0.41087762941334094,0,0,0,0,0.27220844455098725
SP50406,0.25333537554943597,0.02106589146702827,0.059100388622181144,0.3167550096216091,0,0,0,0.055015442315204395,0.29472789242454106
SP55004,0.1426186364343899,0,0.0756131372809705,0.6731061846561427,0.012275706809140127,0,0,0.0838634962792783,0.012522838540078457
