sample,SBS1,SBS2,SBS4,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS40
SP53810,0.0,0.0,0.8372512668620918,0.08705334289082925,0.013661383293788609,0.0,0.0,0.062034006953290324,0.0
SP55142,0.0,0.07233699377532019,0.4234444255502835,0.1671917449429375,0.09945428516581516,0.0,0.0,0.0,0.23757255056564358
SP55235,0.0,0.031385870241092906,0.5290786472491233,0.1370107630464182,0.02366200084736393,0.0,0.0,0.0,0.27886271861600165
SP54113,0.0,0.04744228474766167,0.5428236814525059,0.34731115700659465,0.0624228767932378,0.0,0.0,0.0,0.0
SP55509,0.0,0.024207927520274685,0.6323773602070255,0.19723580372722616,0.03611961623370211,0.0,0.0,0.11005929231177161,0.0
SP53618,0.0,0.01488318227205954,0.6691142555550628,0.18936222980689663,0.0195716573241946,0.0,0.0,0.10706867504178658,0.0
SP53460,0.0,0.02655964790194203,0.6132039186466504,0.21734272798180762,0.030709173006706152,0.0,0.0,0.11218453246289384,0.0
SP50611,0.0,0.01591037635566975,0.66937772608155,0.18644192608324445,0.02772517355440707,0.0,0.0,0.10054479792512881,0.0
SP56079,0.010668266772672722,0.016808779699348003,0.6213580667647292,0.09510068077971302,0.022219553988931787,0.0,0.0,0.0,0.23384465199460527
SP54745,0.01588714910926938,0.18458533447264014,0.074992373118512,0.0,0.1300055677419252,0.06840684006056033,0.1488922062603152,0.0,0.37723052923677786
SP54363,0.0,0.1129096315277462,0.46471794450487014,0.2152611764234654,0.09647767302833614,0.0,0.0,0.11063357451558221,0.0
SP53387,0.010142272781398535,0.20716997290737416,0.35203171352826673,0.08587522641465228,0.08084950046792226,0.0,0.0,0.047139383800502636,0.21679193009988343
SP50827,0.01143823293166443,0.02793873830832654,0.5346595673078116,0.09599907273643378,0.022276609788566822,0.0,0.0,0.09451064311280298,0.2131771358143939
SP52779,0.0,0.051584594266331656,0.5676962740887811,0.21755441649866683,0.04965770115576679,0.0,0.0,0.11350701399045368,0.0
SP52667,0.0,0.0,0.6484974021986447,0.11408562176467253,0.01247093145814984,0.0,0.0,0.04783596733803977,0.17711007724049327
SP56168,0.02013073979109426,0.3463797216355239,0.04388324447855961,0.12645569934517606,0.2839878157534197,0.0,0.0,0.0,0.17916277899622662
SP52232,0.011044929507505559,0.015451579095730996,0.6680761808201784,0.281238613408039,0.02418869716854594,0.0,0.0,0.0,0.0
SP51824,0.022021697898763147,0.08793851669576638,0.39336469024913917,0.4083366483953009,0.08833844676103032,0.0,0.0,0.0,0.0
SP53073,0.0,0.013982140123714014,0.49230503425983635,0.37218478514164965,0.015792923629966638,0.03030497952543549,0.07543013731939778,0.0,0.0
SP55387,0.0,0.01395883026154784,0.5973740389018657,0.2590261751134367,0.019993364053880355,0.0,0.0,0.1096475916692694,0.0
SP50317,0.031069320232849088,0.1512691818266613,0.058375351582457796,0.1174461287965516,0.27035342034994575,0.0,0.0,0.13519550630437846,0.23629109090715603
SP56303,0.04992316765887808,0.02183150955867758,0.04018464359536045,0.09219652658186125,0.04015911687886026,0.0,0.0,0.3031527404968258,0.45255229522953666
SP50713,0.012843053681918626,0.1451895415699468,0.3613182016907497,0.2912067662132284,0.1894424368441566,0.0,0.0,0.0,0.0
SP50321,0.013701866804473314,0.01790777496385649,0.5684423822226745,0.26368373849500326,0.02023412045589884,0.0,0.0,0.11603011705809352,0.0
SP50263,0.12285541357865651,0.03442435929449388,0.0473170075231986,0.2974636810296288,0.05749366800615834,0.0,0.0,0.0675591369486838,0.3728867336191801
SP53548,0.0376711875677016,0.0,0.0,0.0,0.0,0.08220085642475465,0.2274944284073527,0.0,0.6526335276001911
SP55711,0.09134719530894231,0.1086694935487172,0.02135126229335433,0.22080551577158603,0.0796815590855817,0.0,0.0,0.0585827688303081,0.41956220516151027
SP50518,0.11391221919384892,0.044222198388021015,0.0607260654586722,0.29787728176299044,0.03106330488983463,0.0,0.0,0.042942041216254875,0.40925688909037794
SP51446,0.12504495561412315,0.07017121364910453,0.12762668666371815,0.5789421195830949,0.02876177915219052,0.0,0.0,0.06945324533776874,0.0
SP52284,0.0799278155523549,0.04532655359353996,0.0,0.3827555714282838,0.035859534655657735,0.0,0.0,0.124379256943455,0.3317512678267087
SP50592,0.15577429207183469,0.04457010034616573,0.0,0.42919588476073595,0.0,0.0,0.0,0.07288260752518107,0.2975771152960825
SP51037,0.21171593356202498,0.03337566915217309,0.0,0.3455568097544151,0.031099817762011636,0.0,0.01282118388039168,0.03987092341813449,0.32555966247084905
SP52607,0.157333888807908,0.10231387621510013,0.10486265622553936,0.37251969495634957,0.06796595760247201,0.0,0.0,0.0,0.19500392619263093
SP50485,0.1736505293281834,0.03427189200325579,0.03348121262601911,0.4744224508964877,0.0,0.0,0.0,0.03868291059923336,0.2454910045468208
SP50412,0.11054624984128286,0.0,0.028296999787064844,0.6183741006162113,0.0,0.0,0.0,0.0,0.24278264975544098
SP55309,0.23181266500180014,0.044220885029160856,0.03327755237458411,0.39586597196616785,0.0,0.0,0.0,0.0,0.294822925628287
SP50406,0.2533353755592054,0.021065891467534893,0.059100388758914955,0.31675500953331265,0.0,0.0,0.0,0.05501544220444548,0.2947278924765867
SP55004,0.1412581907455799,0.0,0.07629246572847909,0.6855942555836664,0.012482805713083312,0.0,0.0,0.08437228222919126,0.0
