sample,SBS1,SBS2,SBS4,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS40
SP53810,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SP55142,0.0,0.08109243965028687,0.48816566163407477,0.3197595562998669,0.11098234241577147,0.0,0.0,0.0,0.0
SP55235,0.0,0.0,0.4695131059813889,0.0,0.0,0.0,0.0,0.0,0.5304868940186112
SP54113,0.0,0.047223254507056285,0.541318081702575,0.3492254842422978,0.06223317954807072,0.0,0.0,0.0,0.0
SP55509,0.0,0.0,0.6168594541468209,0.0,0.0,0.0,0.0,0.0,0.3831405458531791
SP53618,0.0,0.0,0.6713577508887512,0.0,0.0,0.0,0.0,0.0,0.32864224911124884
SP53460,0.0,0.0,0.5778570628012104,0.0,0.0,0.0,0.0,0.0,0.42214293719878954
SP50611,0.0,0.0,0.6577597183731556,0.0,0.0,0.0,0.0,0.0,0.34224028162684444
SP56079,0.0,0.0,0.5886155950185458,0.0,0.0,0.0,0.0,0.0,0.41138440498145423
SP54745,0.0,0.18298407376362114,0.0,0.0,0.1286672254819782,0.06686923721709975,0.148197820620285,0.0,0.4732816429170159
SP54363,0.0,0.10248396501457727,0.4772711370262391,0.0,0.08440816326530612,0.0,0.0,0.0,0.33583673469387754
SP53387,0.0,0.2076086956521739,0.37573251417769377,0.0,0.07882797731568998,0.0,0.0,0.0,0.33783081285444233
SP50827,0.0,0.0,0.5524788963868622,0.0,0.0,0.0,0.0,0.0,0.4475211036131378
SP52779,0.0,0.05164734991535356,0.6595650475322308,0.23737465815861442,0.05141294439380128,0.0,0.0,0.0,0.0
SP52667,0.0,0.0,0.6482948261948173,0.0,0.0,0.0,0.0,0.0,0.3517051738051828
SP56168,0.0,0.35419819601670804,0.0,0.0,0.28782008596161995,0.0,0.0,0.0,0.357981718021672
SP52232,0.0,0.0,0.5838602714373843,0.0,0.0,0.0,0.0,0.0,0.41613972856261566
SP51824,0.0,0.0880694678793366,0.39310259681468374,0.4302646199432075,0.08856331536277214,0.0,0.0,0.0,0.0
SP53073,0.0,0.0,0.4923655959967495,0.43137590351139815,0.0,0.0,0.07625850049185236,0.0,0.0
SP55387,0.0,0.0,0.5831770164873137,0.0,0.0,0.0,0.0,0.0,0.4168229835126864
SP50317,0.0,0.15498885862837336,0.0,0.0,0.2771725674671949,0.0,0.0,0.16402574894775934,0.4038128249566724
SP56303,0.05363960295240519,0.0,0.0,0.0,0.0,0.0,0.0,0.28894120641384574,0.6574191906337491
SP50713,0.0,0.1455205294243222,0.3609905358286487,0.303422756706753,0.1900661780402761,0.0,0.0,0.0,0.0
SP50321,0.0,0.0,0.5656326466177283,0.0,0.0,0.0,0.0,0.0,0.43436735338227167
SP50263,0.1368176088432076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8631823911567924
SP53548,0.0,0.0,0.0,0.0,0.0,0.0,0.2411776367961935,0.0,0.7588223632038065
SP55711,0.10446621707596386,0.10319379055859525,0.0,0.0,0.07176485557959028,0.0,0.0,0.0,0.7205751367858506
SP50518,0.12743390850087066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8725660914991293
SP51446,0.1520844516013598,0.05099302200751476,0.0,0.0,0.0,0.0,0.0,0.0,0.7969225263911254
SP52284,0.07204280527422129,0.05732849226065354,0.0,0.6279380852283585,0.05044907318937512,0.0,0.0,0.19224154404739155,0.0
SP50592,0.1612712198973549,0.04007106198183972,0.0,0.36221871298855113,0.0,0.0,0.0,0.0,0.43643900513225425
SP51037,0.22788077915982163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7721192208401784
SP52607,0.15568862275449105,0.11052894211576848,0.15294411177644712,0.50374251497006,0.07709580838323354,0.0,0.0,0.0,0.0
SP50485,0.1752799310938846,0.0,0.0,0.3962101636520241,0.0,0.0,0.0,0.0,0.42850990525409133
SP50412,0.1095759885659838,0.0,0.0,0.8904240114340162,0.0,0.0,0.0,0.0,0.0
SP55309,0.24193548387096775,0.05561735261401557,0.0,0.7024471635150167,0.0,0.0,0.0,0.0,0.0
SP50406,0.272572402044293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727427597955707
SP55004,0.14084507042253522,0.0,0.0,0.7253521126760564,0.0,0.0,0.0,0.13380281690140844,0.0
