tool,sample,signature,browserExposure,localExposure,absoluteDifference
deconstructsigs,SP50263,SBS1,0.10477369556624998,0.10477369556624998,0
deconstructsigs,SP50263,SBS10a,0.017156081564484997,0.017156081564484997,0
deconstructsigs,SP50263,SBS10b,0.0016319695849110396,0.0016319695849110396,0
deconstructsigs,SP50263,SBS11,0,0,0
deconstructsigs,SP50263,SBS12,0,0,0
deconstructsigs,SP50263,SBS13,0.05361064073838539,0.05361064073838539,0
deconstructsigs,SP50263,SBS14,0,0,0
deconstructsigs,SP50263,SBS15,0.030152509874572395,0.030152509874572395,0
deconstructsigs,SP50263,SBS16,0.009597332005080058,0.009597332005080058,0
deconstructsigs,SP50263,SBS17a,0,0,0
deconstructsigs,SP50263,SBS17b,0,0,0
deconstructsigs,SP50263,SBS18,0.007139862999057148,0.007139862999057148,0
deconstructsigs,SP50263,SBS19,0.004048713337642419,0.004048713337642419,0
deconstructsigs,SP50263,SBS2,0.029175311167904693,0.029175311167904693,0
deconstructsigs,SP50263,SBS20,0,0,0
deconstructsigs,SP50263,SBS21,0.016352495232523797,0.016352495232523797,0
deconstructsigs,SP50263,SBS22,0.0018618391635890795,0.0018618391635890795,0
deconstructsigs,SP50263,SBS23,0,0,0
deconstructsigs,SP50263,SBS24,0.009788356413194949,0.009788356413194949,0
deconstructsigs,SP50263,SBS25,0.04016056104337199,0.04016056104337199,0
deconstructsigs,SP50263,SBS26,0,0,0
deconstructsigs,SP50263,SBS27,0,0,0
deconstructsigs,SP50263,SBS28,0,0,0
deconstructsigs,SP50263,SBS29,0.05192336806776628,0.05192336806776628,0
deconstructsigs,SP50263,SBS3,0.03776456849226499,0.03776456849226499,0
deconstructsigs,SP50263,SBS30,0.027775650449625894,0.027775650449625894,0
deconstructsigs,SP50263,SBS31,0,0,0
deconstructsigs,SP50263,SBS32,0,0,0
deconstructsigs,SP50263,SBS33,0,0,0
deconstructsigs,SP50263,SBS34,0,0,0
deconstructsigs,SP50263,SBS35,0,0,0
deconstructsigs,SP50263,SBS36,0,0,0
deconstructsigs,SP50263,SBS37,0.005708452651520809,0.005708452651520809,0
deconstructsigs,SP50263,SBS38,0,0,0
deconstructsigs,SP50263,SBS39,0.061950908670327084,0.061950908670327084,0
deconstructsigs,SP50263,SBS4,0,0,0
deconstructsigs,SP50263,SBS40,0.2552138938588239,0.2552138938588239,0
deconstructsigs,SP50263,SBS41,0.011219194786658098,0.011219194786658098,0
deconstructsigs,SP50263,SBS42,0,0,0
deconstructsigs,SP50263,SBS43,0,0,0
deconstructsigs,SP50263,SBS44,0.008551517374875328,0.008551517374875328,0
deconstructsigs,SP50263,SBS45,0,0,0
deconstructsigs,SP50263,SBS46,0.012257084388285096,0.012257084388285096,0
deconstructsigs,SP50263,SBS47,0.014149064942289097,0.014149064942289097,0
deconstructsigs,SP50263,SBS48,0,0,0
deconstructsigs,SP50263,SBS49,0,0,0
deconstructsigs,SP50263,SBS5,0.12638955390877496,0.12638955390877496,0
deconstructsigs,SP50263,SBS50,0.011622519445392897,0.011622519445392897,0
deconstructsigs,SP50263,SBS51,0.0026925600509831596,0.0026925600509831596,0
deconstructsigs,SP50263,SBS52,0,0,0
deconstructsigs,SP50263,SBS53,0,0,0
deconstructsigs,SP50263,SBS54,0,0,0
deconstructsigs,SP50263,SBS55,0,0,0
deconstructsigs,SP50263,SBS56,0,0,0
deconstructsigs,SP50263,SBS57,0,0,0
deconstructsigs,SP50263,SBS58,0,0,0
deconstructsigs,SP50263,SBS59,0,0,0
deconstructsigs,SP50263,SBS6,0.0015005716457704296,0.0015005716457704296,0
deconstructsigs,SP50263,SBS60,0,0,0
deconstructsigs,SP50263,SBS7a,0.009911017171116799,0.009911017171116799,0
deconstructsigs,SP50263,SBS7b,0,0,0
deconstructsigs,SP50263,SBS7c,0,0,0
deconstructsigs,SP50263,SBS7d,0.009074431926671699,0.009074431926671699,0
deconstructsigs,SP50263,SBS8,0.026846273477885492,0.026846273477885492,0
deconstructsigs,SP50263,SBS84,0,0,0
deconstructsigs,SP50263,SBS85,0,0,0
deconstructsigs,SP50263,SBS9,0,0,0
deconstructsigs,SP50317,SBS1,0.030208566136799786,0.030208566136799786,0
deconstructsigs,SP50317,SBS10a,0.0016084650724749192,0.0016084650724749192,0
deconstructsigs,SP50317,SBS10b,0,0,0
deconstructsigs,SP50317,SBS11,0,0,0
deconstructsigs,SP50317,SBS12,0.023385623243559892,0.023385623243559892,0
deconstructsigs,SP50317,SBS13,0.2702616525530579,0.2702616525530579,0
deconstructsigs,SP50317,SBS14,0.010799945112222797,0.010799945112222797,0
deconstructsigs,SP50317,SBS15,0,0,0
deconstructsigs,SP50317,SBS16,0.010494996019662197,0.010494996019662197,0
deconstructsigs,SP50317,SBS17a,0,0,0
deconstructsigs,SP50317,SBS17b,0,0,0
deconstructsigs,SP50317,SBS18,0.11981641446939094,0.11981641446939094,0
deconstructsigs,SP50317,SBS19,0.009677692877347266,0.009677692877347266,0
deconstructsigs,SP50317,SBS2,0.15221168271046795,0.15221168271046795,0
deconstructsigs,SP50317,SBS20,0,0,0
deconstructsigs,SP50317,SBS21,0,0,0
deconstructsigs,SP50317,SBS22,0.016019360780877994,0.016019360780877994,0
deconstructsigs,SP50317,SBS23,0,0,0
deconstructsigs,SP50317,SBS24,0,0,0
deconstructsigs,SP50317,SBS25,0,0,0
deconstructsigs,SP50317,SBS26,0,0,0
deconstructsigs,SP50317,SBS27,0,0,0
deconstructsigs,SP50317,SBS28,0,0,0
deconstructsigs,SP50317,SBS29,0.025386113590941384,0.025386113590941384,0
deconstructsigs,SP50317,SBS3,0,0,0
deconstructsigs,SP50317,SBS30,0.011767814332416993,0.011767814332416993,0
deconstructsigs,SP50317,SBS31,0,0,0
deconstructsigs,SP50317,SBS32,0.005816405569348308,0.005816405569348308,0
deconstructsigs,SP50317,SBS33,0,0,0
deconstructsigs,SP50317,SBS34,0,0,0
deconstructsigs,SP50317,SBS35,0,0,0
deconstructsigs,SP50317,SBS36,0,0,0
deconstructsigs,SP50317,SBS37,0.008768627723030177,0.008768627723030177,0
deconstructsigs,SP50317,SBS38,0,0,0
deconstructsigs,SP50317,SBS39,0.022268929983962994,0.022268929983962994,0
deconstructsigs,SP50317,SBS4,0,0,0
deconstructsigs,SP50317,SBS40,0.16408709948498595,0.16408709948498595,0
deconstructsigs,SP50317,SBS41,0.007975502464375426,0.007975502464375426,0
deconstructsigs,SP50317,SBS42,0,0,0
deconstructsigs,SP50317,SBS43,0,0,0
deconstructsigs,SP50317,SBS44,0.013170919245780193,0.013170919245780193,0
deconstructsigs,SP50317,SBS45,0,0,0
deconstructsigs,SP50317,SBS46,0,0,0
deconstructsigs,SP50317,SBS47,0.004108504427890888,0.004108504427890888,0
deconstructsigs,SP50317,SBS48,0,0,0
deconstructsigs,SP50317,SBS49,0,0,0
deconstructsigs,SP50317,SBS5,0,0,0
deconstructsigs,SP50317,SBS50,0,0,0
deconstructsigs,SP50317,SBS51,0.006705010265144616,0.006705010265144616,0
deconstructsigs,SP50317,SBS52,0,0,0
deconstructsigs,SP50317,SBS53,0,0,0
deconstructsigs,SP50317,SBS54,0,0,0
deconstructsigs,SP50317,SBS55,0,0,0
deconstructsigs,SP50317,SBS56,0,0,0
deconstructsigs,SP50317,SBS57,0,0,0
deconstructsigs,SP50317,SBS58,0,0,0
deconstructsigs,SP50317,SBS59,0,0,0
deconstructsigs,SP50317,SBS6,0,0,0
deconstructsigs,SP50317,SBS60,0,0,0
deconstructsigs,SP50317,SBS7a,0,0,0
deconstructsigs,SP50317,SBS7b,0,0,0
deconstructsigs,SP50317,SBS7c,0,0,0
deconstructsigs,SP50317,SBS7d,0,0,0
deconstructsigs,SP50317,SBS8,0.07776845792824347,0.07776845792824347,0
deconstructsigs,SP50317,SBS84,0,0,0
deconstructsigs,SP50317,SBS85,0.007692216008017856,0.007692216008017856,0
deconstructsigs,SP50317,SBS9,0,0,0
deconstructsigs,SP50321,SBS1,0,0,0
deconstructsigs,SP50321,SBS10a,0,0,0
deconstructsigs,SP50321,SBS10b,0,0,0
deconstructsigs,SP50321,SBS11,0,0,0
deconstructsigs,SP50321,SBS12,0.0156761910159309,0.0156761910159309,0
deconstructsigs,SP50321,SBS13,0.0174140635885321,0.0174140635885321,0
deconstructsigs,SP50321,SBS14,0.00666046593731375,0.00666046593731375,0
deconstructsigs,SP50321,SBS15,0,0,0
deconstructsigs,SP50321,SBS16,0.0217669245259005,0.0217669245259005,0
deconstructsigs,SP50321,SBS17a,0,0,0
deconstructsigs,SP50321,SBS17b,0,0,0
deconstructsigs,SP50321,SBS18,0.0940560470064186,0.0940560470064186,0
deconstructsigs,SP50321,SBS19,0.00637644208057238,0.00637644208057238,0
deconstructsigs,SP50321,SBS2,0.010673355401676,0.010673355401676,0
deconstructsigs,SP50321,SBS20,0,0,0
deconstructsigs,SP50321,SBS21,0,0,0
deconstructsigs,SP50321,SBS22,0,0,0
deconstructsigs,SP50321,SBS23,0,0,0
deconstructsigs,SP50321,SBS24,0,0,0
deconstructsigs,SP50321,SBS25,0,0,0
deconstructsigs,SP50321,SBS26,0,0,0
deconstructsigs,SP50321,SBS27,0.00354090654283022,0.00354090654283022,0
deconstructsigs,SP50321,SBS28,0,0,0
deconstructsigs,SP50321,SBS29,0.0141200472192795,0.0141200472192795,0
deconstructsigs,SP50321,SBS3,0,0,0
deconstructsigs,SP50321,SBS30,0.00626318149610429,0.00626318149610429,0
deconstructsigs,SP50321,SBS31,0.0124741487783009,0.0124741487783009,0
deconstructsigs,SP50321,SBS32,0.0162890955740431,0.0162890955740431,0
deconstructsigs,SP50321,SBS33,0,0,0
deconstructsigs,SP50321,SBS34,0,0,0
deconstructsigs,SP50321,SBS35,0,0,0
deconstructsigs,SP50321,SBS36,0,0,0
deconstructsigs,SP50321,SBS37,0,0,0
deconstructsigs,SP50321,SBS38,0,0,0
deconstructsigs,SP50321,SBS39,0.00538904949444027,0.00538904949444027,0
deconstructsigs,SP50321,SBS4,0.477131217225334,0.477131217225334,0
deconstructsigs,SP50321,SBS40,0.155247572728832,0.155247572728832,0
deconstructsigs,SP50321,SBS41,0,0,0
deconstructsigs,SP50321,SBS42,0,0,0
deconstructsigs,SP50321,SBS43,0,0,0
deconstructsigs,SP50321,SBS44,0,0,0
deconstructsigs,SP50321,SBS45,0,0,0
deconstructsigs,SP50321,SBS46,0,0,0
deconstructsigs,SP50321,SBS47,0,0,0
deconstructsigs,SP50321,SBS48,0,0,0
deconstructsigs,SP50321,SBS49,0,0,0
deconstructsigs,SP50321,SBS5,0,0,0
deconstructsigs,SP50321,SBS50,0.0352755185332353,0.0352755185332353,0
