sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7,SBS8,SBS9
Sample001,1662.02445102474,18.6528158489771,122.085399428835,0,0,185.835193317548,2349.96297387017,491.354259434411,0
Sample002,0,1620.41073617122,18.97129416922,0,0,1458.10278439205,207.770121151188,0,1438.7352359121
Sample003,0,771.247748574855,0,0,20.7853864814261,1898.68561032012,1666.3314614403,0,92.244900204982
Sample004,379.363651741755,0,0,377.32170649434,0,0,0,2773.61458773291,1150.89509483692
Sample005,1307.02806590981,2932.61277433049,26.1801870438848,0,698.553936999852,0,0,0,0
Sample006,1077.18305198591,0,80.9517935390978,0,0,0,0,1026.85018590313,2031.11093382155
Sample007,0,0,391.431253648763,0,348.077752650218,0,3611.62399640335,0,6.37058924882793
Sample008,0,0,0,0,35.7602239967177,601.959343683644,2044.1762012021,1967.44742983086,73.8175469982569
Sample009,0,0,0,2391.70787201816,110.49421952833,27.525201394367,0,472.740328391533,1343.57016112075
Sample010,0,221.299632567434,0,0,2410.35845778594,1279.22938913663,928.843986293248,155.877164784199,0
Sample011,0,1718.33508410288,0,0,0,0,1025.71786294323,0,1641.89039030269
Sample012,0,0,942.489233860786,181.445826332338,0,3350.87832248489,0,0,104.305590856039
