noisePercent,toolA,toolB,pair,cancerType,sampleCount,flattenedRawExposurePearson,perSampleRawExposurePearsonMean,perSampleRawExposurePearsonSd,perSampleRawExposurePearsonMedian,perSampleRawExposurePearsonQ1,perSampleRawExposurePearsonQ3,perSampleRawExposurePearsonMin,perSampleRawExposurePearsonMax,activeJaccardMean,activeJaccardSd,activeJaccardMedian,activeJaccardQ1,activeJaccardQ3,activeJaccardMin,activeJaccardMax
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Bladder-TCC,300,0.990079,0.988218,0.026694,0.999695,0.993678,0.999993,0.816899,1,0.756897,0.301015,1,0.5,1,0.2,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Bone-Osteosarc,300,0.996714,0.996452,0.010007,0.999881,0.997504,0.999989,0.90849,1,0.806846,0.289554,1,0.5,1,0.125,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Breast-AdenoCA,300,0.99502,0.994349,0.018957,0.999899,0.998015,0.999991,0.845173,1,0.867101,0.240806,1,0.8,1,0.133333,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Cervix-AdenoCA,300,0.999883,0.99995,0.000208,0.999992,0.999986,0.999996,0.99809,1,0.996111,0.03955,1,1,1,0.5,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Eso-AdenoCA,300,0.995611,0.99536,0.01369,0.999976,0.99847,0.999998,0.881014,1,0.860268,0.246458,1,0.7875,1,0.166667,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Kidney-RCC,300,0.998032,0.998441,0.003149,0.999983,0.998198,0.999996,0.978775,1,0.777311,0.32612,1,0.4,1,0.111111,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Lung-SCC,300,0.995982,0.99635,0.010375,0.99981,0.998318,0.999999,0.915017,1,0.856655,0.24904,1,0.75,1,0.1875,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Ovary-AdenoCA,300,0.998216,0.998239,0.007367,0.999993,0.999961,0.999998,0.901499,1,0.924215,0.203213,1,1,1,0.125,1
0,deconstructSigs,sigminer,deconstructSigs vs sigminer,SP.Syn.Stomach-AdenoCA,300,0.997369,0.996803,0.019342,0.999894,0.999116,0.999994,0.68572,1,0.854044,0.22492,1,0.75,1,0.1875,1
0,deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,SP.Syn.Bladder-TCC,300,0.985244,0.983134,0.041216,0.999371,0.984547,0.99999,0.629598,1,0.738341,0.303379,1,0.444444,1,0.181818,1
