noisePercent,tool,toolLabel,sampleCount,rawExposureCosineMean,rawExposureCosineSd,rawExposureCosineMedian,rawExposureCosineQ1,rawExposureCosineQ3,rawExposureCosineMin,rawExposureCosineMax,precisionMean,precisionSd,precisionMedian,precisionQ1,precisionQ3,precisionMin,precisionMax,recallMean,recallSd,recallMedian,recallQ1,recallQ3,recallMin,recallMax,f1Mean,f1Sd,f1Median,f1Q1,f1Q3,f1Min,f1Max,pooledTruePositiveCount,pooledFalsePositiveCount,pooledFalseNegativeCount,pooledPrecision,pooledRecall,pooledF1
0,deconstructsigs,deconstructSigs,2700,0.995975,0.014543,0.999967,0.998714,0.999997,0.69584,1,0.876741,0.22833,1,0.833333,1,0.142857,1,0.884631,0.173134,1,0.8,1,0.142857,1,0.869938,0.199295,1,0.8,1,0.181818,1,10150,2446,1523,0.805811,0.869528,0.836458
0,sigminer,sigminer,2700,0.99995,0.001003,0.999994,0.999979,0.999999,0.94849,1,0.999523,0.018756,1,1,1,0.111111,1,0.947562,0.106728,1,1,1,0.142857,1,0.969254,0.066826,1,1,1,0.181818,1,10917,10,756,0.999085,0.935235,0.966106
0,sigprofilerassignment,SigProfilerAssignment,2700,0.997903,0.010019,1,0.999996,1,0.804057,1,0.998975,0.017635,1,1,1,0.5,1,0.912901,0.148945,1,0.8,1,0.142857,1,0.946663,0.097976,1,0.888889,1,0.25,1,10379,10,1294,0.999037,0.889146,0.940894
0,musical,MuSiCal,2700,0.999619,0.001701,1,0.999983,1,0.946275,1,0.99958,0.016677,1,1,1,0.2,1,0.917049,0.134456,1,0.8,1,0.142857,1,0.950648,0.08561,1,0.888889,1,0.25,1,10522,5,1151,0.999525,0.901396,0.947928
5,deconstructsigs,deconstructSigs,2700,0.984097,0.034904,0.997217,0.98749,0.999092,0.621353,1,0.627723,0.248299,0.625,0.4,0.8,0.083333,1,0.865416,0.181923,1,0.75,1,0.142857,1,0.70276,0.206272,0.727273,0.545455,0.857143,0.133333,1,9913,8158,1760,0.548558,0.849225,0.666555
5,sigminer,sigminer,2700,0.992514,0.017193,0.996896,0.99273,0.998589,0.569712,0.99997,0.654254,0.212301,0.666667,0.5,0.8,0.125,1,0.908712,0.141247,1,0.8,1,0.142857,1,0.735292,0.164703,0.75,0.625,0.857143,0.2,1,10432,6657,1241,0.610451,0.893686,0.725402
5,sigprofilerassignment,SigProfilerAssignment,2700,0.994903,0.018906,0.999779,0.998993,0.99994,0.637263,1,0.99808,0.023114,1,1,1,0.5,1,0.883255,0.167283,1,0.8,1,0.142857,1,0.927484,0.111379,1,0.888889,1,0.25,1,9979,20,1694,0.998,0.854879,0.920912
5,musical,MuSiCal,2700,0.999014,0.004646,0.999812,0.999372,0.999945,0.818524,1,0.994006,0.052744,1,1,1,0.222222,1,0.912975,0.137535,1,0.8,1,0.142857,1,0.945346,0.094388,1,0.888889,1,0.25,1,10475,105,1198,0.990076,0.89737,0.941446
10,deconstructsigs,deconstructSigs,2700,0.967162,0.06078,0.991431,0.970549,0.996732,0.410561,1,0.440067,0.18547,0.4,0.3,0.555556,0.076923,1,0.841218,0.189123,1,0.75,1,0.142857,1,0.555872,0.168796,0.545455,0.444444,0.666667,0.125,1,9600,14485,2073,0.398588,0.822411,0.536943
10,sigminer,sigminer,2700,0.971216,0.055522,0.987298,0.970463,0.994225,0.301005,0.999853,0.405092,0.158908,0.384615,0.294118,0.5,0.052632,1,0.872291,0.159776,1,0.75,1,0.125,1,0.532193,0.147365,0.533333,0.428571,0.625,0.095238,1,9998,16385,1675,0.378956,0.856506,0.525436
10,sigprofilerassignment,SigProfilerAssignment,2700,0.990895,0.027394,0.999167,0.996609,0.999763,0.652028,1,0.996642,0.029869,1,1,1,0.5,1,0.86012,0.18139,1,0.75,1,0.142857,1,0.91159,0.122229,1,0.857143,1,0.25,1,9663,36,2010,0.996288,0.827808,0.904267
10,musical,MuSiCal,2700,0.996189,0.019726,0.999259,0.997704,0.99978,0.459612,1,0.967333,0.115293,1,1,1,0.090909,1,0.899651,0.147197,1,0.8,1,0.142857,1,0.924482,0.12386,1,0.888889,1,0.153846,1,10314,549,1359,0.949461,0.883577,0.915335
