sample,tool,activeSignatureCount,reconstructionCosine,totalRawFraction,threshold
SP50263,deconstructSigs,18,0.9938491107954908,1,0.01
SP50263,sigminer,20,0.9946726726868615,1,0.01
SP50263,SigProfilerAssignment,5,0.9794222317104178,1,0.01
SP50263,MuSiCal,14,0.9936587445053678,0.9999999999999998,0.01
SP50317,deconstructSigs,14,0.997802516052718,0.9999999999999997,0.01
SP50317,sigminer,16,0.9982482886222903,1,0.01
SP50317,SigProfilerAssignment,5,0.9933060099345136,1,0.01
SP50317,MuSiCal,11,0.9981494580272767,1,0.01
SP50321,deconstructSigs,14,0.9941045021914113,1,0.01
SP50321,sigminer,17,0.9947965505124697,0.9999999999999999,0.01
SP50321,SigProfilerAssignment,4,0.9856807076278494,1,0.01
SP50321,MuSiCal,8,0.9920092540158991,0.9999999999999998,0.01
SP50406,deconstructSigs,17,0.9843798779284082,1,0.01
SP50406,sigminer,23,0.9849494152176076,1,0.01
SP50406,SigProfilerAssignment,3,0.9575147133094549,1,0.01
SP50406,MuSiCal,15,0.9833561516452695,1,0.01
SP50412,deconstructSigs,19,0.9855115213084479,1.0000000000000004,0.01
SP50412,sigminer,21,0.9863409130686568,1,0.01
SP50412,SigProfilerAssignment,2,0.9430312775721329,1,0.01
SP50412,MuSiCal,15,0.9850105564176653,0.9999999999999998,0.01
SP50485,deconstructSigs,19,0.9921846428915012,1,0.01
SP50485,sigminer,21,0.9921339826935323,1.0000000000000002,0.01
SP50485,SigProfilerAssignment,4,0.9832791995509103,1,0.01
SP50485,MuSiCal,13,0.9910657021487576,1,0.01
SP50518,deconstructSigs,19,0.9952523026410323,0.9999999999999997,0.01
SP50518,sigminer,22,0.9948059069970976,1.0000000000000002,0.01
SP50518,SigProfilerAssignment,5,0.9805838419371042,1,0.01
SP50518,MuSiCal,10,0.9927209989259833,0.9999999999999999,0.01
SP50592,deconstructSigs,24,0.9934830643232434,1.0000000000000002,0.01
SP50592,sigminer,25,0.9949443352802484,1.0000000000000002,0.01
SP50592,SigProfilerAssignment,4,0.9696807406779234,1,0.01
SP50592,MuSiCal,13,0.9911278181354348,1.0000000000000002,0.01
SP50611,deconstructSigs,12,0.994282936792177,1,0.01
SP50611,sigminer,13,0.9959632102392462,1,0.01
SP50611,SigProfilerAssignment,3,0.9814165386627757,1,0.01
SP50611,MuSiCal,10,0.9935591402746149,1,0.01
SP50713,deconstructSigs,14,0.9957404254844626,1,0.01
SP50713,sigminer,17,0.996149829066057,0.9999999999999999,0.01
SP50713,SigProfilerAssignment,5,0.9923611598193063,1,0.01
SP50713,MuSiCal,9,0.99561172762182,0.9999999999999999,0.01
SP50827,deconstructSigs,15,0.9965268382944844,1,0.01
SP50827,sigminer,14,0.9959120707257104,1,0.01
SP50827,SigProfilerAssignment,3,0.9832398003370603,1,0.01
SP50827,MuSiCal,11,0.9942685743957638,1,0.01
SP51037,deconstructSigs,21,0.9922568521250121,1,0.01
SP51037,sigminer,24,0.9934796589035216,1,0.01
SP51037,SigProfilerAssignment,3,0.9692117532096995,1,0.01
SP51037,MuSiCal,13,0.9911462593190968,1,0.01
SP51446,deconstructSigs,20,0.9948540834574311,1.0000000000000002,0.01
SP51446,sigminer,23,0.9952813138924713,1,0.01
SP51446,SigProfilerAssignment,5,0.9726629348227576,1,0.01
SP51446,MuSiCal,12,0.9917823739648346,0.9999999999999998,0.01
SP51824,deconstructSigs,21,0.9975438991289002,1,0.01
SP51824,sigminer,19,0.9972954049970573,1,0.01
SP51824,SigProfilerAssignment,5,0.990649227016623,1,0.01
SP51824,MuSiCal,13,0.9964833690445142,1,0.01
SP52232,deconstructSigs,16,0.9963401459359235,1,0.01
SP52232,sigminer,19,0.9965212313688293,0.9999999999999999,0.01
SP52232,SigProfilerAssignment,4,0.9882009371938487,1,0.01
SP52232,MuSiCal,10,0.9949269627434675,0.9999999999999998,0.01
SP52284,deconstructSigs,22,0.9900983175670507,1,0.01
SP52284,sigminer,22,0.9904475426268017,0.9999999999999999,0.01
SP52284,SigProfilerAssignment,7,0.9741184978795525,1,0.01
SP52284,MuSiCal,13,0.9893645391404318,0.9999999999999999,0.01
SP52607,deconstructSigs,14,0.9936350949891599,1,0.01
SP52607,sigminer,21,0.9940374846853496,1,0.01
SP52607,SigProfilerAssignment,5,0.9868200071620419,1,0.01
SP52607,MuSiCal,10,0.9937634190063396,1,0.01
SP52667,deconstructSigs,10,0.9958088787619875,0.9999999999999999,0.01
SP52667,sigminer,13,0.9967513474792866,1,0.01
SP52667,SigProfilerAssignment,2,0.9864093974460397,1,0.01
SP52667,MuSiCal,10,0.9972318178196072,1.0000000000000002,0.01
SP52779,deconstructSigs,16,0.9957386819551163,1,0.01
SP52779,sigminer,14,0.9949744304091609,0.9999999999999997,0.01
SP52779,SigProfilerAssignment,6,0.9889560779226676,1,0.01
SP52779,MuSiCal,12,0.9941626580432397,1,0.01
SP53073,deconstructSigs,16,0.9951856045695648,1,0.01
SP53073,sigminer,16,0.9946760656715564,1,0.01
SP53073,SigProfilerAssignment,6,0.986624281974782,1,0.01
SP53073,MuSiCal,12,0.9957336024185424,0.9999999999999999,0.01
SP53387,deconstructSigs,15,0.9977765858568655,0.9999999999999999,0.01
SP53387,sigminer,14,0.9977304109933965,1,0.01
SP53387,SigProfilerAssignment,4,0.9930373592494355,1,0.01
SP53387,MuSiCal,10,0.9974519955305656,1,0.01
SP53460,deconstructSigs,14,0.9943356184507233,1,0.01
SP53460,sigminer,14,0.9943388183909762,1,0.01
SP53460,SigProfilerAssignment,3,0.9828612439136527,1,0.01
SP53460,MuSiCal,10,0.9916687274757984,0.9999999999999999,0.01
SP53548,deconstructSigs,17,0.9937553571851582,1,0.01
SP53548,sigminer,16,0.9940622727592078,0.9999999999999999,0.01
SP53548,SigProfilerAssignment,7,0.9903408722468331,1,0.01
SP53548,MuSiCal,11,0.9931843408815555,0.9999999999999998,0.01
SP53618,deconstructSigs,11,0.9945509210823479,1,0.01
SP53618,sigminer,15,0.996616810460628,1,0.01
SP53618,SigProfilerAssignment,2,0.9829011416262504,1,0.01
SP53618,MuSiCal,11,0.9945243165581157,1,0.01
SP53810,deconstructSigs,9,0.9985976983901954,1,0.01
SP53810,sigminer,12,0.9986538254718398,0.9999999999999999,0.01
SP53810,SigProfilerAssignment,2,0.9939584282271301,1,0.01
SP53810,MuSiCal,5,0.9975019374381112,0.9999999999999999,0.01
SP54113,deconstructSigs,15,0.9937438449787523,1,0.01
SP54113,sigminer,17,0.9949079800227215,1,0.01
SP54113,SigProfilerAssignment,5,0.9886516255201947,1,0.01
SP54113,MuSiCal,10,0.9928522089743183,1,0.01
SP54363,deconstructSigs,15,0.9963730672140829,1,0.01
SP54363,sigminer,15,0.996202390580788,0.9999999999999999,0.01
SP54363,SigProfilerAssignment,4,0.9857314066000157,1,0.01
SP54363,MuSiCal,10,0.9938899885832108,1,0.01
SP54745,deconstructSigs,16,0.9980202980142854,1,0.01
SP54745,sigminer,14,0.9973335028336897,1,0.01
SP54745,SigProfilerAssignment,7,0.9963683704048985,1.0000000000000002,0.01
SP54745,MuSiCal,13,0.9981120895678472,1,0.01
SP55004,deconstructSigs,22,0.9810587192634125,1.0000000000000002,0.01
SP55004,sigminer,22,0.9831424785086761,1,0.01
SP55004,SigProfilerAssignment,5,0.9492807392084089,1.0000000000000002,0.01
SP55004,MuSiCal,18,0.9823093005864622,0.9999999999999999,0.01
