signature,meanExposure,acrossToolRangeMean,maxAcrossToolRange
SBS5,0.11241964408034597,0.24625895566237646,0.74298308842387
SBS40,0.11227042127027845,0.21685589741195282,0.5955590031998449
SBS8,0.0495749938566876,0.08872764964705117,0.1646180284677579
SBS4,0.2679725568928759,0.07141819139193667,0.220633215032898
SBS39,0.035474151141256086,0.05438735725972268,0.12588760300489094
SBS18,0.040129756769801954,0.054294684200214924,0.12705505999911898
SBS30,0.020943129025231044,0.038575906075485084,0.07258393620920787
SBS29,0.018504417731729055,0.037967602130153794,0.11971830985915491
SBS12,0.01110116119484208,0.030120319856210893,0.10317210257657258
SBS16,0.015868205465320747,0.02800668325968892,0.12083399049359693
SBS50,0.013288418182620651,0.02552457029130131,0.06774061139419875
SBS25,0.008957375162798294,0.022713283556549134,0.09631143665774317
SBS6,0.00961385324431859,0.019289523626441072,0.0913626441187629
SBS19,0.010914851807784556,0.019178575211863114,0.046027272415159935
SBS3,0.006090267651674902,0.01696796575957123,0.14070257393422317
SBS13,0.053503355945252955,0.01599961572300801,0.04518494251805155
SBS37,0.006543120250200636,0.015416618999472647,0.08336993829109098
SBS2,0.05631958205899508,0.01498796010170854,0.04519950479811244
SBS51,0.006419706391492768,0.013732304151671615,0.08527325680506988
SBS36,0.007757949532685372,0.013715812212497274,0.08475589083715653
SBS1,0.05135092752770448,0.012959653450096885,0.05916290520142414
SBS15,0.005236480387651043,0.010136133233982356,0.09542167105433025
SBS22,0.004351611355068361,0.009481190988513999,0.047772878709682366
SBS26,0.004515948808805958,0.009051011169783784,0.07976492967583484
SBS21,0.004625589523968,0.008642869758271377,0.04252483965992343
SBS85,0.004095580373937579,0.008445603888237277,0.054910840086977185
SBS44,0.003968059073252419,0.007819585322021016,0.0885587436885723
SBS7b,0.0030671734239987787,0.006765373525041788,0.048513257381328556
SBS41,0.0017456715424354473,0.00654366403114029,0.05163259152269671
SBS24,0.002312643645103709,0.006456231606889254,0.05130736840383
SBS7a,0.003188268221412923,0.00589391788564687,0.04333256781943082
SBS32,0.0028918157020426886,0.0057504230514986,0.08265302282351919
SBS46,0.002835030731506501,0.0050669563281051135,0.12281112126817677
SBS34,0.002602486783890504,0.004830061545929057,0.028515287030060392
SBS58,0.0017527554023145273,0.004801269593927235,0.03247224528130914
SBS7d,0.003074706709854239,0.004751515135768849,0.03672359831824244
SBS42,0.0015259803094349505,0.003701618770257626,0.058392910194982973
SBS14,0.0014837331525990368,0.003599183788077409,0.02555489762569315
SBS9,0.0008588561789184549,0.0031252980185955278,0.06275158748926365
SBS10b,0.0014368026176619082,0.002777221740949761,0.04248818235750436
SBS10a,0.0011260825088156628,0.002453774656191432,0.022202713766541513
SBS31,0.0012549605522941569,0.0023250993326082454,0.05116283163784954
SBS17b,0.010658935434036588,0.002206761874682545,0.018584054206615856
SBS47,0.0004039542822925991,0.0016158171291703965,0.015238735475085112
SBS20,0.0004675137287532856,0.0014855967904507284,0.022649021262704894
SBS56,0.00030914246848836495,0.0012365698739534598,0.027488486014426092
SBS57,0.0002895763541597559,0.0011583054166390235,0.024377580382834982
SBS54,0.0003504256649988949,0.0010799389599875483,0.0170434432397486
SBS17a,0.004385571944213971,0.0010725375269582053,0.02474634125798275
SBS35,0.00024283424838875535,0.0009713369935550214,0.021135552498220845
SBS38,0.00031336998779699305,0.000816238546209621,0.01764227079997234
SBS84,0.0001740086113824322,0.0006960344455297288,0.014293906704229392
SBS28,0.008263645646442329,0.0005983509573082198,0.012412756444657391
SBS7c,0.0004093597224647766,0.0005941392578185971,0.022577291797106692
SBS59,0.00013960628995739974,0.000558425159829599,0.010624415062023324
SBS52,0.000366344922054161,0.0005071730975596934,0.019272577707268347
SBS43,0.00011008810340626994,0.00044035241362507975,0.01673339171775303
SBS55,0.00007611658625205373,0.0003044663450082149,0.011569721110312165
SBS27,0.0000714238160474776,0.0002856952641899104,0.010856420039216594
SBS11,0,0,0
SBS23,0,0,0
SBS33,0,0,0
SBS45,0,0,0
SBS48,0,0,0
SBS49,0,0,0
SBS53,0,0,0
SBS60,0,0,0
