rank,fold,trainSampleCount,testSampleCount,totalRuns,convergedRuns,convergenceRate,bestRunSeed,bestTrainingRelativeError,heldOutRelativeError,heldOutMeanCosine,restartComponentStabilityMedianCosine,restartSampleClusteringMeanARI,status
2,1,30,8,5,5,1,20262802,0.15095500672197906,0.15504206417639735,0.8686209069289944,0.9999959994386487,1,usable
2,2,30,8,5,5,1,20262904,0.13951234579256694,0.2285899502190019,0.9251219884166176,0.9999433157737871,0.6437714589691541,usable
2,3,30,8,5,5,1,20263005,0.12064212586631048,0.3827090968506814,0.8222750537311493,0.9999974497136057,1,usable
2,4,31,7,5,5,1,20263101,0.14062148348955186,0.1730591950354447,0.8148750067387887,0.9999767298123314,0.9483476811996667,usable
2,5,31,7,5,5,1,20263205,0.14663949027017903,0.1368768043302393,0.9316612685725433,0.9999774932377061,1,usable
3,1,30,8,5,5,1,20263805,0.1220110908184867,0.1410006691728807,0.9038876453200828,0.9988354424533086,0.6635640489340825,usable
3,2,30,8,5,5,1,20263903,0.0846750307232178,0.19751923926066645,0.935923251837299,0.9880405949696374,0.4798237463113906,usable
3,3,30,8,5,5,1,20264001,0.08675577009898776,0.3830109556021513,0.8541222415322205,0.9947887781981111,0.5248030879861,usable
3,4,31,7,5,5,1,20264103,0.11470055157354665,0.14057189960191366,0.8366051493598172,0.9968934664868891,0.5444088471121409,usable
3,5,31,7,5,5,1,20264203,0.11858166272484467,0.12328471783386166,0.9409254831989327,0.9984388897371897,0.46013814956788524,usable
4,1,30,8,5,5,1,20264801,0.07409431688039907,0.11266313276602126,0.8971453437620406,0.9156767273859253,0.48665270662115867,usable
4,2,30,8,5,5,1,20264901,0.06799552786025645,0.17189293333727476,0.949303675103311,0.9849896437040813,0.5084657632981784,usable
4,3,30,8,5,5,1,20265003,0.0712754088885479,0.35522567803472044,0.8775330577513406,0.9551216808616455,0.3640716719414054,usable
4,4,31,7,5,5,1,20265105,0.0701602277498908,0.11245365063944693,0.9121322036064188,0.9355181507007531,0.4479333861759171,usable
4,5,31,7,5,5,1,20265201,0.10420093549595048,0.10304190795157403,0.9466076181421147,0.9454372923007255,0.37460902239564964,usable
5,1,30,8,5,5,1,20265804,0.06173306322387435,0.08640017349491633,0.898576578157358,0.9470781629530564,0.3949998629428958,usable
5,2,30,8,5,5,1,20265904,0.05634241149019699,0.17231448320258685,0.9716823271030026,0.984091552071223,0.6420210392401785,usable
5,3,30,8,5,5,1,20266005,0.05789046198129849,0.33645594888689856,0.884560122508035,0.972035071919732,0.43605479897276983,usable
5,4,31,7,5,5,1,20266103,0.04786475628364874,0.10654178440322434,0.9187993812709695,0.9814494304148275,0.35743441601682424,usable
5,5,31,7,5,5,1,20266201,0.05390592407334577,0.09547135709779819,0.9545548655620362,0.9783074443070099,0.37331976931009286,usable
6,1,30,8,5,5,1,20266805,0.04986008777302566,0.0661854986629623,0.9004083470293989,0.9767370094946005,0.4819762703533398,usable
6,2,30,8,5,5,1,20266901,0.048620180195263006,0.16070791864725942,0.9804487405704284,0.9336227477287542,0.7409493819127911,usable
6,3,30,8,5,5,1,20267004,0.04280806141898864,0.1712904745104355,0.8818528409074019,0.9504739342847954,0.33424252609381067,usable
6,4,31,7,5,5,1,20267103,0.03867064329283676,0.09320174664113111,0.9212422342311434,0.965549861377345,0.3280965176634052,usable
6,5,31,7,5,5,1,20267202,0.045236610595716716,0.08020867668504968,0.960371714437699,0.9855906769267915,0.3893234606034953,usable
7,1,30,8,5,5,1,20267803,0.044144028751735585,0.058803309646129794,0.9281808744458593,0.9563810893633798,0.41642767690674837,usable
7,2,30,8,5,5,1,20267905,0.03848968158063714,0.12322080233483317,0.9869329790593699,0.9539394469676727,0.8542351060591707,usable
7,3,30,8,5,5,1,20268003,0.039794503846925705,0.16170646121588297,0.8847256925427924,0.9222144649256792,0.36799708086749694,usable
7,4,31,7,5,5,1,20268101,0.032934133125406405,0.09174559747214392,0.9285649822856497,0.9683002237416409,0.7195785649415001,usable
7,5,31,7,5,5,1,20268202,0.035429192893465834,0.06309215158627327,0.9920138574831167,0.9364335053979971,0.4969483263770429,usable
8,1,30,8,5,4,0.8,20268801,0.03327565358159997,0.05458412750873583,0.9731092054185959,0.9254627740683732,0.5117959747304837,usable
8,2,30,8,5,5,1,20268904,0.031974462212146386,0.12774463865084093,0.9878940879101231,0.9618872670546321,0.8002722230339574,usable
8,3,30,8,5,3,0.6,20269003,0.02976081329055692,0.1522605116392124,0.9528583517730033,0.8929798697890046,0.30132133406426787,usable
8,4,31,7,5,3,0.6,20269104,0.022498339274396935,0.0838457360175016,0.9680158451648977,0.938053475009051,0.6226576501184716,usable
8,5,31,7,5,5,1,20269203,0.0311977945423368,0.05783989989529348,0.9930809446374523,0.9244790080496116,0.6853703710474993,usable
