scenarioId,sampleCount,signatureCount,contextCount,iterationsPerSample,totalBootstrapFits,parallel,workerCountRequested,workerMode,workerCountUsed,elapsedMs,fitsPerSecond,peakRssMiB,peakHeapUsedMiB,bootstrapSamples,repeat
single_500_serial,1,67,96,500,500,false,1,serial,0,1548.8074000000001,322.8290360699464,90.0546875,18.039108276367188,1,1
single_500_serial,1,67,96,500,500,false,1,serial,0,1470.8472000000002,339.9401379014761,142.90625,44.858543395996094,1,2
single_500_parallel_4,1,67,96,500,500,true,4,node_worker_threads,4,854.6765,585.0166700500131,255.9453125,56.7777099609375,1,1
single_500_parallel_4,1,67,96,500,500,true,4,node_worker_threads,4,835.1916000000001,598.6650248877023,261.24609375,41.24107360839844,1,2
cohort_120_iter25_serial,120,67,96,25,3000,false,1,serial,0,11217.233800000002,267.4456156918116,234.64453125,46.059181213378906,120,1
cohort_120_iter25_serial,120,67,96,25,3000,false,1,serial,0,13335.285899999999,224.9670552620098,234.54296875,75.51472473144531,120,2
cohort_120_iter25_parallel_4,120,67,96,25,3000,true,4,node_worker_threads,4,4704.786700000001,637.6484613000626,545.01953125,79.80192565917969,120,1
cohort_120_iter25_parallel_4,120,67,96,25,3000,true,4,node_worker_threads,4,4589.393499999998,653.6811454498293,547.40625,28.16783905029297,120,2
cohort_300_iter10_parallel_4,300,40,96,10,3000,true,4,node_worker_threads,4,1973.1650000000009,1520.3999665512,436.8515625,18.326438903808594,300,1
cohort_300_iter10_parallel_4,300,40,96,10,3000,true,4,node_worker_threads,4,2007.7944999999963,1494.1768193906328,469.38671875,22.5985107421875,300,2
