sample,totalMutations,burdenClass,cosineSimilarity,rmse
SP50263,10313,high,0.9968134194786908,0.0010674250597942983
SP50317,16156,high,0.9988276748937202,0.000992539448017191
SP50321,12669,high,0.9952300434202915,0.001474795226598862
SP50406,587,moderate,0.9856626030585288,0.002829348845580374
SP50412,2099,high,0.9871682673584193,0.002165032651919652
SP50485,2322,high,0.9941169553264434,0.0016272830255864195
SP50518,6317,high,0.9973377646491803,0.0009789646909546623
SP50592,5066,high,0.9955415778890327,0.001355122268278691
SP50611,53404,high,0.9964579896577236,0.0013744976649224699
SP50713,14053,high,0.9969188827748147,0.0013665371864325835
SP50827,40159,high,0.9973856368723926,0.0011165301871684913
SP51037,4261,high,0.9941783527125176,0.0016659872566968036
SP51446,5589,high,0.9969774118958822,0.0010953643530688467
SP51824,24299,high,0.9983866534952884,0.0007965616162634807
SP52232,25936,high,0.9976298605912152,0.0010284244142921787
SP52284,5233,high,0.9912731739105323,0.0017827046919464394
SP52607,4008,high,0.9949547746026289,0.0015572497163672018
SP52667,33457,high,0.9983536230747948,0.0008759111485120349
SP52779,38395,high,0.9968586104837264,0.0012286130892883963
SP53073,23381,high,0.9975980745503891,0.0009367101588469239
SP53387,42320,high,0.9984863488574102,0.001062355029669178
SP53460,53534,high,0.9952541786261465,0.0015358414390688002
SP53548,10088,high,0.9948374487461293,0.0022648069421653777
SP53618,61322,high,0.9968822289616833,0.0013117264108471098
SP53810,185584,high,0.9993667189852892,0.0006392288582588792
SP54113,110327,high,0.9955417302543533,0.001360919998373115
SP54363,42875,high,0.9968995698376666,0.0012958501522870962
SP54745,47720,high,0.9988798405924898,0.000936888278928361
SP55004,568,moderate,0.9839016926413601,0.0026393662211373265
SP55142,157043,high,0.9968015308859186,0.0012164340312700679
SP55235,113803,high,0.9974834389793524,0.0010311814746276542
SP55309,1798,high,0.9912166392130827,0.002158817541232287
SP55387,20258,high,0.993289778547483,0.0018224282298245028
SP55509,66135,high,0.9952341359522922,0.0016000315729859434
SP55711,7859,high,0.9959490804039681,0.0013964634322981922
SP56079,48259,high,0.9984547021460002,0.0008464748952311257
SP56168,33038,high,0.9993743397230729,0.0010052545210851645
SP56303,15716,high,0.99754210738771,0.0009907609000145239
